epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5665.82,0.68617,0.40448,0.94963,0.98197,0.98071,0.99257,0.8991,0.49852,0.23456,0.84364,0.0091882,0.0091882,0.0091882
43,5794.25,0.68089,0.3993,0.94805,0.9821,0.98078,0.99266,0.89944,0.49827,0.23398,0.8435,0.0091684,0.0091684,0.0091684
44,5923.07,0.68279,0.40071,0.95003,0.98418,0.98054,0.99266,0.89924,0.49774,0.23333,0.84328,0.0091486,0.0091486,0.0091486
45,6052.6,0.67994,0.39604,0.9502,0.98263,0.98136,0.99274,0.90006,0.49739,0.23291,0.84328,0.0091288,0.0091288,0.0091288
46,6180.97,0.67767,0.39683,0.94987,0.98353,0.98087,0.99285,0.9,0.49668,0.23237,0.843,0.009109,0.009109,0.009109
47,6310.78,0.67833,0.39623,0.94434,0.98387,0.98129,0.99295,0.90053,0.49619,0.23218,0.84276,0.0090892,0.0090892,0.0090892
48,6439.83,0.67633,0.39608,0.94968,0.98402,0.98156,0.99303,0.90047,0.49549,0.23137,0.84252,0.0090694,0.0090694,0.0090694
49,6568.22,0.67898,0.39427,0.94916,0.98445,0.98143,0.99308,0.90047,0.49506,0.23073,0.84231,0.0090496,0.0090496,0.0090496
50,6697.38,0.67592,0.3944,0.94644,0.98373,0.98239,0.99311,0.90054,0.49492,0.2302,0.84225,0.0090298,0.0090298,0.0090298
51,6826.06,0.67331,0.39199,0.94739,0.98386,0.98219,0.9931,0.90108,0.49486,0.23004,0.84227,0.00901,0.00901,0.00901
52,6954.25,0.67411,0.39199,0.94864,0.98402,0.9819,0.993,0.90106,0.49432,0.22958,0.84217,0.0089902,0.0089902,0.0089902
53,7084.14,0.67219,0.38965,0.94442,0.98429,0.9819,0.99301,0.90123,0.49418,0.22913,0.84209,0.0089704,0.0089704,0.0089704
54,7212.45,0.67376,0.3899,0.94831,0.98409,0.98202,0.99296,0.90176,0.49374,0.22918,0.84199,0.0089506,0.0089506,0.0089506
55,7341.42,0.67148,0.39103,0.94487,0.98429,0.98214,0.99288,0.90165,0.49335,0.22919,0.84184,0.0089308,0.0089308,0.0089308
56,7471.35,0.66811,0.38908,0.94433,0.98322,0.98331,0.99285,0.90197,0.49325,0.22863,0.84183,0.008911,0.008911,0.008911
57,7599.85,0.66749,0.38509,0.9453,0.98279,0.98493,0.99285,0.90179,0.49271,0.22812,0.84169,0.0088912,0.0088912,0.0088912
58,7729.37,0.6677,0.38742,0.94245,0.98303,0.98495,0.99289,0.90228,0.49252,0.22775,0.84161,0.0088714,0.0088714,0.0088714
59,7859.3,0.66938,0.38441,0.9436,0.98298,0.98486,0.99291,0.90189,0.49221,0.22712,0.84144,0.0088516,0.0088516,0.0088516
60,7987.83,0.6634,0.38462,0.94472,0.98319,0.98466,0.9929,0.90228,0.49174,0.22675,0.84136,0.0088318,0.0088318,0.0088318
61,8117.88,0.66521,0.38544,0.94349,0.98316,0.98475,0.99299,0.90229,0.49139,0.22618,0.84114,0.008812,0.008812,0.008812
62,8247.28,0.66194,0.38011,0.94276,0.98313,0.98452,0.99309,0.90248,0.49095,0.22532,0.8408,0.0087922,0.0087922,0.0087922
63,8375.72,0.66349,0.38079,0.94478,0.98278,0.98488,0.99314,0.9032,0.49056,0.22455,0.8406,0.0087724,0.0087724,0.0087724
64,8505.38,0.66414,0.38045,0.94114,0.98264,0.98549,0.99313,0.9032,0.49059,0.22389,0.84044,0.0087526,0.0087526,0.0087526
65,8634.22,0.66337,0.3812,0.94301,0.98331,0.98507,0.99314,0.90353,0.49026,0.22335,0.84017,0.0087328,0.0087328,0.0087328
66,8763.02,0.66481,0.38217,0.94505,0.9833,0.98506,0.99319,0.9036,0.49003,0.22294,0.84006,0.008713,0.008713,0.008713
67,8893.11,0.66185,0.38125,0.94008,0.986,0.98273,0.99324,0.90412,0.48987,0.22234,0.83995,0.0086932,0.0086932,0.0086932
68,9021.51,0.66118,0.38014,0.93741,0.98594,0.98293,0.99332,0.90445,0.48959,0.22186,0.83978,0.0086734,0.0086734,0.0086734
69,9150.3,0.6623,0.37796,0.94178,0.98599,0.98287,0.99343,0.90515,0.48942,0.22141,0.83975,0.0086536,0.0086536,0.0086536
70,9280.35,0.65642,0.37623,0.9394,0.986,0.98292,0.99342,0.90536,0.48904,0.22065,0.8396,0.0086338,0.0086338,0.0086338
71,9408.64,0.65884,0.37891,0.93991,0.9859,0.98348,0.9935,0.90578,0.48881,0.22018,0.83942,0.008614,0.008614,0.008614
72,9536.86,0.66023,0.37615,0.93958,0.98584,0.98367,0.99351,0.9059,0.48845,0.21972,0.83914,0.0085942,0.0085942,0.0085942
73,9666.33,0.65722,0.37596,0.93868,0.98606,0.98367,0.99355,0.90591,0.48827,0.21938,0.83899,0.0085744,0.0085744,0.0085744
74,9794.81,0.65732,0.37453,0.93813,0.98603,0.98367,0.99362,0.90603,0.48797,0.21837,0.83889,0.0085546,0.0085546,0.0085546
75,9924.26,0.65473,0.37626,0.93841,0.98591,0.98447,0.99371,0.90648,0.48765,0.21771,0.83865,0.0085348,0.0085348,0.0085348
76,10053.3,0.65611,0.37549,0.93992,0.98531,0.98449,0.99374,0.90649,0.48736,0.21767,0.83857,0.008515,0.008515,0.008515
77,10181.2,0.65802,0.37617,0.93977,0.98594,0.98509,0.99378,0.90636,0.48695,0.21732,0.83846,0.0084952,0.0084952,0.0084952
78,10311.1,0.65763,0.37481,0.9442,0.98597,0.98412,0.99375,0.90663,0.48659,0.21738,0.83841,0.0084754,0.0084754,0.0084754
79,10440.1,0.65498,0.37282,0.9394,0.98582,0.9849,0.9938,0.90615,0.48632,0.21722,0.83844,0.0084556,0.0084556,0.0084556
80,10568.5,0.65203,0.37351,0.94012,0.98422,0.9862,0.99377,0.90671,0.48596,0.21715,0.8385,0.0084358,0.0084358,0.0084358
81,10698.7,0.65136,0.37187,0.93701,0.98643,0.98401,0.99362,0.90678,0.48549,0.21737,0.83854,0.008416,0.008416,0.008416
82,10827.2,0.65246,0.37219,0.93788,0.98583,0.98381,0.9937,0.90712,0.48501,0.21755,0.83832,0.0083962,0.0083962,0.0083962
83,10955.5,0.65229,0.37031,0.93637,0.98621,0.98367,0.99368,0.90747,0.48493,0.21704,0.83822,0.0083764,0.0083764,0.0083764
84,11084.6,0.64933,0.37074,0.93647,0.98665,0.98324,0.99369,0.90756,0.48485,0.21693,0.83828,0.0083566,0.0083566,0.0083566
85,11212.9,0.65026,0.37028,0.93549,0.98701,0.98273,0.99367,0.90743,0.48456,0.21664,0.83815,0.0083368,0.0083368,0.0083368
86,11342.5,0.65314,0.37271,0.9372,0.98368,0.9855,0.99361,0.90749,0.48437,0.21643,0.83803,0.008317,0.008317,0.008317
87,11472,0.6467,0.37147,0.93621,0.98361,0.98621,0.99365,0.90785,0.48414,0.21592,0.83791,0.0082972,0.0082972,0.0082972
88,11600.9,0.64643,0.36906,0.93491,0.98338,0.98538,0.99367,0.90761,0.48384,0.21552,0.83783,0.0082774,0.0082774,0.0082774
89,11730.3,0.64787,0.36987,0.93605,0.98323,0.98604,0.99366,0.90813,0.48354,0.21549,0.83768,0.0082576,0.0082576,0.0082576
90,11859.4,0.6431,0.36834,0.9346,0.98311,0.98642,0.99365,0.90779,0.48327,0.21535,0.83773,0.0082378,0.0082378,0.0082378
91,11987.7,0.6511,0.37057,0.93984,0.98291,0.98787,0.99364,0.9077,0.48312,0.21581,0.83777,0.008218,0.008218,0.008218
92,12117.9,0.64776,0.36721,0.9375,0.98283,0.98784,0.99366,0.9084,0.48288,0.21595,0.83778,0.0081982,0.0081982,0.0081982
93,12246.5,0.64535,0.36451,0.93403,0.9836,0.98784,0.99366,0.90786,0.48246,0.21519,0.83759,0.0081784,0.0081784,0.0081784
94,12375,0.64725,0.36844,0.93674,0.98403,0.98676,0.99363,0.90787,0.48221,0.21502,0.83754,0.0081586,0.0081586,0.0081586
95,12504.7,0.64358,0.36698,0.93559,0.9837,0.9866,0.99369,0.90812,0.48206,0.21454,0.8375,0.0081388,0.0081388,0.0081388
96,12633,0.65032,0.36625,0.93755,0.98339,0.98656,0.99374,0.90861,0.48178,0.21426,0.83745,0.008119,0.008119,0.008119
97,12761.8,0.64671,0.36524,0.9372,0.98343,0.98651,0.99378,0.90865,0.4816,0.21399,0.83745,0.0080992,0.0080992,0.0080992
98,12891.5,0.64757,0.36632,0.93768,0.98369,0.98622,0.99381,0.90848,0.48146,0.21381,0.83737,0.0080794,0.0080794,0.0080794
99,13020,0.64774,0.36621,0.93655,0.98598,0.9842,0.99384,0.90899,0.48145,0.21394,0.83742,0.0080596,0.0080596,0.0080596
100,13149.5,0.64631,0.36601,0.93725,0.98383,0.98641,0.99382,0.90884,0.4812,0.21381,0.83744,0.0080398,0.0080398,0.0080398
101,13279.1,0.64512,0.36644,0.93674,0.98353,0.98601,0.99381,0.90908,0.48111,0.21385,0.83764,0.00802,0.00802,0.00802
102,13407.7,0.64471,0.36388,0.93595,0.99021,0.98042,0.9938,0.90912,0.48076,0.21368,0.83763,0.0080002,0.0080002,0.0080002
103,13537.8,0.64216,0.36091,0.93603,0.9887,0.98102,0.99379,0.90961,0.4805,0.21364,0.83762,0.0079804,0.0079804,0.0079804
104,13666.8,0.63949,0.36089,0.93104,0.98956,0.98096,0.99383,0.90922,0.48044,0.21325,0.83747,0.0079606,0.0079606,0.0079606
105,13795.2,0.63961,0.36149,0.93668,0.98951,0.98101,0.99383,0.90936,0.48033,0.21316,0.83749,0.0079408,0.0079408,0.0079408
106,13925.2,0.63837,0.35912,0.93472,0.98981,0.98077,0.99382,0.90924,0.48026,0.21299,0.83752,0.007921,0.007921,0.007921
107,14053.7,0.64435,0.36387,0.93531,0.99001,0.98087,0.99372,0.90892,0.48023,0.21314,0.83753,0.0079012,0.0079012,0.0079012
108,14182,0.64044,0.36202,0.93403,0.98617,0.98443,0.99372,0.90918,0.48005,0.21259,0.83761,0.0078814,0.0078814,0.0078814
109,14312.7,0.63786,0.36068,0.93432,0.98597,0.98449,0.99375,0.90935,0.47986,0.21226,0.83754,0.0078616,0.0078616,0.0078616
110,14441.1,0.63805,0.35829,0.93421,0.98815,0.98227,0.99377,0.90952,0.47975,0.21199,0.83747,0.0078418,0.0078418,0.0078418
111,14570.1,0.6403,0.35936,0.93584,0.98829,0.98275,0.99374,0.90957,0.47973,0.21213,0.83752,0.007822,0.007822,0.007822
112,14699.8,0.64043,0.36017,0.93393,0.98751,0.98463,0.99373,0.90989,0.4796,0.21216,0.83738,0.0078022,0.0078022,0.0078022
113,14828.4,0.64099,0.36,0.93212,0.98706,0.98475,0.99373,0.90999,0.4795,0.21146,0.8372,0.0077824,0.0077824,0.0077824
114,14957.8,0.63794,0.36004,0.93308,0.98704,0.98503,0.99372,0.91004,0.47925,0.21127,0.83705,0.0077626,0.0077626,0.0077626
115,15086.8,0.64109,0.3611,0.9344,0.98757,0.98467,0.99372,0.91003,0.47907,0.21079,0.83694,0.0077428,0.0077428,0.0077428
116,15214.8,0.64016,0.35795,0.93465,0.98777,0.9841,0.99362,0.91018,0.47901,0.21071,0.83694,0.007723,0.007723,0.007723
117,15344.3,0.63973,0.36134,0.93587,0.98741,0.98467,0.99359,0.91033,0.47887,0.21101,0.83693,0.0077032,0.0077032,0.0077032
118,15473.3,0.63814,0.35754,0.93509,0.98726,0.98442,0.99349,0.91035,0.47887,0.21111,0.83701,0.0076834,0.0076834,0.0076834
119,15601.7,0.63507,0.35581,0.9337,0.98764,0.98436,0.99347,0.91007,0.47866,0.21113,0.83698,0.0076636,0.0076636,0.0076636
